Site_Name,Site_ID,Lat,Long
Chequamegon Bay Site 1,CB1,46.59708,-90.91349
Chequamegon Bay Site 2,CB2,46.61164,-90.86772
Chequamegon Bay Site 3,CB3,46.62188,-90.90092
Chequamegon Bay Site 4,CB4,46.62946,-90.84248
Chequamegon Bay Site 5,CB5,46.65916,-90.87329
Chequamegon Bay Site 6,CB6,46.64711,-90.7855
Chequamegon Bay Site 7,CB7,46.68566,-90.84851
Chequamegon Bay Site 8,CB8,46.68319,-90.75117
Chequamegon Bay Site 9,CB9,46.70515,-90.79303
Chequamegon Bay Site 10,CB10,46.71722,-90.84085
Chequamegon Bay Site 11,CB11,46.74633,-90.81973
Chequamegon Bay Site 12,CB12,46.67992,-90.80695
